alternative_id,alternative,criterion_id,criterion,lower,upper,rule,sources
a2,Developer-led responsible scaling,g5,Reversibility and control,71.70750829039247,99.1893277572349,"Covers first 4 practices; stop gate varies across 2026 developer-led frameworks, so interval runs from 4/5 coverage to 5/5 coverage.",https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://openai.com/index/path-to-astra/ ; https://www.anthropic.com/responsible-scaling-policy
a2,Developer-led responsible scaling,g6,Auditability and external oversight,67.10185149074626,78.3993411465357,"Covers third-party model evaluation, external scrutiny, incident reporting and public safety/risk results; lacks mandatory third-party governance audit.",https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act ; https://openai.com/index/openai-frontier-governance-framework/ ; https://www.anthropic.com/responsible-scaling-policy
a3,Mandatory conditional scaling,g1,Frontier scientific/technological opportunity preservation,89.0,100.0,"a1-a3: observed access-preservation envelope 89-100% (EU 89%, UK 93%, Jan-May 2026 100%); a4=0 by definition of a frontier-scaling pause.",https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://openai.com/index/path-to-astra/
a3,Mandatory conditional scaling,g2,Near-term economic/social benefit preservation,79.0,88.0,"Use the observed 2025 organizational adoption envelope 79-88% from Stanford AI Index 2026: 79% regularly use generative AI in at least one business function and 88% use AI in at least one business function. All regimes preserve already-deployed systems over the short horizon, so this criterion is intentionally non-discriminating.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
a3,Mandatory conditional scaling,g3,Institutional feasibility,5.0,20.0,"Strict public proxy for a novel mandatory regime: 5% expect domestic institutions to keep pace; >80% expect fragmented governance, hence 5-20.",https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing ; https://www.governance.ai/research-paper/coordinated-pausing-evaluation-based-scheme
a3,Mandatory conditional scaling,g4,International robustness / leakage resistance,40.85022977807577,60.98929739812439,CFR concentration share 46% (Wilson 95% CI) plus diffuse-state coverage capped by the <20% non-fragmented-governance share: c+(1-c)q.,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing
a3,Mandatory conditional scaling,g5,Reversibility and control,88.22628997230318,99.1893277572349,All 5 high-consensus control practices mandatory by policy definition.,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://openai.com/index/path-to-astra/ ; https://www.anthropic.com/responsible-scaling-policy
a3,Mandatory conditional scaling,g6,Auditability and external oversight,81.62875424348516,97.2803825714062,All 5 auditability/oversight practices mandatory by policy definition.,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act ; https://openai.com/index/openai-frontier-governance-framework/ ; https://www.anthropic.com/responsible-scaling-policy
a4,Temporary frontier scaling pause,g1,Frontier scientific/technological opportunity preservation,0.0,0.0,"a1-a3: observed access-preservation envelope 89-100% (EU 89%, UK 93%, Jan-May 2026 100%); a4=0 by definition of a frontier-scaling pause.",https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://openai.com/index/path-to-astra/
a4,Temporary frontier scaling pause,g2,Near-term economic/social benefit preservation,79.0,88.0,"Use the observed 2025 organizational adoption envelope 79-88% from Stanford AI Index 2026: 79% regularly use generative AI in at least one business function and 88% use AI in at least one business function. All regimes preserve already-deployed systems over the short horizon, so this criterion is intentionally non-discriminating.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
a4,Temporary frontier scaling pause,g3,Institutional feasibility,5.0,20.0,Strict public proxy for a novel pause regime: same 5-20 institutional-capacity envelope.,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing ; https://www.governance.ai/research-paper/coordinated-pausing-evaluation-based-scheme
a4,Temporary frontier scaling pause,g4,International robustness / leakage resistance,40.85022977807577,51.23662174765549,Policy effectiveness assumed to rely mainly on concentrated frontier actors; use Wilson 95% CI around CFR's 46% concentration share.,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing
a4,Temporary frontier scaling pause,g5,Reversibility and control,70.29941289970505,79.26109993188481,"Covers risk assessment, dangerous-capability evaluation, usage restriction via pause and stop; red-teaming not intrinsic.",https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://openai.com/index/path-to-astra/ ; https://www.anthropic.com/responsible-scaling-policy
a4,Temporary frontier scaling pause,g6,Auditability and external oversight,66.57171555044916,78.16965520876131,"Pause enforcement includes external model evaluation, scrutiny, incident reporting and governance oversight; publication of external-review results not intrinsic.",https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act ; https://openai.com/index/openai-frontier-governance-framework/ ; https://www.anthropic.com/responsible-scaling-policy
